Shop Name,Phone Number,Address,Proximity
Moroccan Hospitality,(781) 605-0520,"188 Salem St, Malden, MA 02148",10.4
Addis Red Sea Ethiopian Restaurant,(617) 441-8727,"1755 Massachusetts Ave, Cambridge, MA 02140",14.6
Addis Red Sea,(617) 426-8727,"544 Tremont St, Boston, MA 02116",15.0
Lucy Ethiopian Cafe,(617) 536-0415,"334 Massachusetts Ave, Boston, MA 02115",15.5
Quality Liquors,(978) 744-4221,"5 Gedney St, Salem, MA 01970",0.0
Salem Wine Imports,(978) 741-9463,"32 Church St, Salem, MA 01970",0.2
Murphys,(978) 744-8889,"300 Derby St, Salem, MA 01970",0.2
Kwik Shop Market &amp; Deli,(978) 740-9955,"10 Jefferson Ave, Salem, MA 01970",0.3
Bung Hole Liquor Store,(978) 744-2251,"204 Derby St, Salem, MA 01970",0.4
Whats Knew,(978) 607-0042,"35 Congress St, Salem, MA 01970",0.4
Arge's Liquors Inc,(978) 744-1761,"18 Boston St, Salem, MA 01970",0.5
Highland Liquor Mart,(978) 745-8979,"424 Essex St, Salem, MA 01970",0.5
Alexandra Liquors Inc,(978) 744-1480,"128 North St, Salem, MA 01970",0.6
Salem Liquors Inc,(978) 744-2335,"125 Canal St, Salem, MA 01970",0.7
Cosgrove's Liquors,(978) 744-4000,"36 Bridge St, Salem, MA 01970",1.1
Loring Liquors,(978) 744-1630,"70 Loring Ave Ste A, Salem, MA 01970",1.2
Tremont Market,(978) 531-2764,"70 Tremont St, Peabody, MA 01960",1.4
Mc Namara's Liquors,(978) 531-0979,"12 Foster St, Peabody, MA 01960",1.6
Cork Screw Liquors,(978) 548-6510,"23 Central St, Peabody, MA 01960",1.6
A &amp; L Liquors Inc,(978) 532-3460,"56 Foster St Ste R, Peabody, MA 01960",1.7
Seventeen Central Street Liquor Store,(978) 531-7858,"17 Central St, Peabody, MA 01960",1.7
Market Wine &amp; Spirits,(978) 745-8700,"15 Traders Way, Salem, MA 01970",1.8
Bunghole Liquors,(978) 531-0089,"79 Lowell St, Peabody, MA 01960",1.8
Waterfront Wine &amp; Spirits,(978) 777-2444,"128 Water St # R, Danvers, MA 01923",2.2
Salem Sight Psychic Readings,(339) 440-1766,"110 Pollard St, North Billerica, MA 01862",19.9
Bill &amp; Bob's Roast Beef,(978) 744-9835,"9 Bridge St, Salem, MA 01970",1.2
China Buffet,(978) 922-8588,"214 Cabot St, Beverly, MA 01915",2.2
Marika's Breakfast &amp; Lunch,(978) 927-1768,"199 Cabot St, Beverly, MA 01915",2.2
Periwinkles Food Shoppe,(978) 825-0099,"540 Loring Ave, Salem, MA 01970",2.3
Three Cod Tavern,(781) 639-3263,"141 Pleasant St, Marblehead, MA 01945",2.3
Mandarin Super Buffet,(978) 740-0306,"400 Highland Ave Ste 9, Salem, MA 01970",2.5
Joe's American Bar &amp; Grill,(978) 532-9500,"210 Andover St, Peabody, MA 01960",2.8
American Bbq,(978) 921-1212,"950 Cummings Ctr, Beverly, MA 01915",3.0
9 Elm American Bistro,(978) 774-9436,"9 Elm St, Danvers, MA 01923",3.7
Imperial Buffet,(781) 593-9668,"138 Boston St, Lynn, MA 01904",4.5
George's Roast Beef Inc,(781) 599-2209,"124 Broad St, Lynn, MA 01901",4.5
Old Country Creamery,(781) 599-1300,"626 Lynnway, Lynn, MA 01905",5.6
3 Yolks,(781) 596-1103,"1103 Western Ave, Lynn, MA 01905",6.1
Continental,(781) 233-2587,"266 Broadway, Saugus, MA 01906",6.6
China Buffet,(781) 231-1588,"180 Main St Ste 5, Saugus, MA 01906",7.6
Chuck Wagon Diner,(781) 451-3988,"61 New Salem St, Wakefield, MA 01880",8.6
Squire Road Buffet,(781) 629-5720,"72 Squire Rd, Revere, MA 02151",8.8
American Legion,(781) 438-9716,"11 Common St, Stoneham, MA 02180",10.6
Sofia's Breakfast &amp; Lunch,(978) 356-4554,"39 Market St, Ipswich, MA 01938",11.4
"Dempsey's Muffins, Bagels, Breakfast And Lunch",(781) 396-7723,"64 Lambert St, Medford, MA 02155",11.9
Image Concepts,(978) 745-9427,"16 Front St, Salem, MA 01970",0.1
Susanna's Cistom Designs &amp; Alterations,(978) 745-2323,"274 Essex St, Salem, MA 01970",0.1
J Mode,(978) 744-7007,"17 Front St, Salem, MA 01970",0.1
Re Find Mens,(978) 744-2365,"266 Essex St, Salem, MA 01970",0.1
Kerr Leather Inc,(978) 745-8119,"4 Chestnut St, Salem, MA 01970",0.1
Bootery,(978) 745-8821,"182 Essex St, Salem, MA 01970",0.2
Adventureous Affairs,(978) 741-2221,"5 Pond St, Salem, MA 01970",0.2
Signatures,(978) 825-0015,"181 Essex St, Salem, MA 01970",0.2
Gear Six Technologies,(978) 744-9436,"1 Derby Sq, Salem, MA 01970",0.2
Yarina Threads,(978) 744-6131,"186 Essex St, Salem, MA 01970",0.2
Leather Hide,(978) 910-0474,"190 Essex St, Salem, MA 01970",0.2
Mightly Aphrodite Maternity Consignment,(978) 745-8900,"7 Central St, Salem, MA 01970",0.2
Glitterati Prom &amp; Pageant Superstore,(978) 745-7775,"121 Lafayette Street, Salem, MA 01970",0.2
Addicted,(978) 740-3900,"203 Essex St, Salem, MA 01970",0.2
Modern Millie Vintage and Consignments,(978) 594-0196,"3 Central St, Salem, MA 01970",0.2
Airgas,(603) 890-4600,"17 North St, Salem, MA 01970",0.2
Witch City Inc,(978) 740-9500,"2 E India Square Mall, Salem, MA 01970",0.3
Christy's Dry Cleaners,(978) 745-8980,"10 Jefferson Ave, Salem, MA 01970",0.3
